                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3439,                 3.2871,                 2.2729,                0.02449,                0.05995,                0.01679,                0.00449,                 3.4358,                 5.3201,                 2.1771,               0.070087,              0.0033237,              0.0033237
                      2,                 2.7575,                 2.7707,                  1.907,                0.28799,                0.01932,                0.03519,                0.01209,                 3.0349,                 3.7801,                 1.9657,               0.040065,               0.006635,               0.006635
                      3,                 2.6065,                 2.5662,                 1.8456,                0.29596,                0.24415,                0.17846,                0.06557,                 2.3458,                 2.7995,                 1.7638,               0.010021,              0.0099244,              0.0099244
                      4,                 2.5196,                 2.4813,                 1.7748,                0.31135,                 0.2622,                0.21309,                0.08296,                 2.2745,                 2.2351,                 1.7028,               0.009901,               0.009901,               0.009901
                      5,                 2.4241,                 2.3493,                 1.7328,                0.26548,                0.23523,                0.18491,                0.07176,                 2.2971,                  2.338,                 1.7236,               0.009868,               0.009868,               0.009868
                      6,                 2.3643,                 2.2892,                 1.7187,                0.35161,                0.29722,                0.24923,                0.10399,                 2.1763,                 2.1241,                 1.6591,               0.009835,               0.009835,               0.009835
                      7,                 2.3023,                 2.2107,                 1.6797,                0.35257,                0.34001,                0.27287,                0.11113,                 2.1402,                 2.2183,                 1.6476,               0.009802,               0.009802,               0.009802
                      8,                 2.2731,                 2.1713,                 1.6627,                0.33987,                0.25348,                 0.2328,                0.09528,                 2.1705,                 2.2803,                 1.6128,               0.009769,               0.009769,               0.009769
                      9,                 2.2548,                 2.1441,                 1.6521,                0.42256,                0.30951,                    0.3,                0.13145,                 2.1305,                 2.0264,                 1.6251,               0.009736,               0.009736,               0.009736
                     10,                 2.1907,                 2.0636,                 1.6076,                0.44696,                0.36925,                0.35591,                 0.1587,                 2.0546,                 2.0102,                 1.5791,               0.009703,               0.009703,               0.009703
                     11,                 2.1839,                 2.0505,                  1.617,                0.44005,                0.34668,                0.32906,                0.14724,                   2.07,                 1.9764,                 1.5884,                0.00967,                0.00967,                0.00967
                     12,                 2.1567,                 2.0239,                 1.5845,                0.46574,                0.38619,                0.37558,                0.17192,                 2.0085,                 2.1392,                 1.5526,               0.009637,               0.009637,               0.009637
                     13,                 2.1467,                 1.9871,                 1.5807,                0.51053,                0.39128,                0.39897,                0.17382,                 2.0504,                 1.8617,                 1.5588,               0.009604,               0.009604,               0.009604
                     14,                 2.1316,                 1.9588,                 1.5756,                0.50286,                0.39052,                0.40747,                0.18468,                 2.0046,                 1.8163,                  1.573,               0.009571,               0.009571,               0.009571
                     15,                 2.1015,                 1.9461,                 1.5671,                0.52932,                0.41446,                0.42621,                0.20118,                 1.9488,                 1.7612,                 1.5199,               0.009538,               0.009538,               0.009538
                     16,                 2.0886,                 1.8993,                  1.549,                0.49852,                0.39932,                  0.386,                0.17874,                  2.025,                 1.8471,                 1.5468,               0.009505,               0.009505,               0.009505
                     17,                 2.0899,                 1.8908,                 1.5477,                0.53965,                0.38643,                0.41611,                0.20082,                 1.9847,                 1.8504,                  1.531,               0.009472,               0.009472,               0.009472
                     18,                 2.0744,                 1.8946,                 1.5409,                0.57575,                 0.3714,                0.42455,                0.19813,                 1.9431,                  1.881,                 1.5064,               0.009439,               0.009439,               0.009439
                     19,                  2.062,                 1.8566,                 1.5349,                0.56488,                0.41022,                0.44635,                0.21448,                 1.9154,                 1.7843,                 1.4934,               0.009406,               0.009406,               0.009406
                     20,                 2.0306,                 1.8344,                 1.5153,                0.58818,                0.41551,                0.46923,                0.21934,                 1.9522,                 1.7293,                 1.5173,               0.009373,               0.009373,               0.009373
                     21,                 2.0246,                 1.8214,                 1.5152,                0.57857,                0.40778,                0.45352,                0.21326,                 1.9559,                 1.7941,                  1.525,                0.00934,                0.00934,                0.00934
                     22,                 2.0269,                 1.8072,                 1.5218,                0.58361,                0.43021,                 0.4763,                0.22861,                 1.9399,                 1.7432,                  1.525,               0.009307,               0.009307,               0.009307
                     23,                 2.0187,                 1.7946,                 1.5167,                0.57711,                0.42521,                0.47126,                0.22633,                 1.9508,                 1.7314,                  1.524,               0.009274,               0.009274,               0.009274
                     24,                 2.0001,                 1.7853,                  1.505,                0.59406,                0.46083,                0.49482,                0.23773,                 1.9451,                 1.6692,                 1.5141,               0.009241,               0.009241,               0.009241
                     25,                 1.9971,                 1.7749,                 1.5009,                0.59526,                0.45452,                0.47846,                0.23563,                 1.9305,                 1.6546,                 1.5017,               0.009208,               0.009208,               0.009208
                     26,                 1.9904,                  1.755,                 1.4906,                0.62443,                0.45924,                0.51106,                0.25757,                 1.8799,                 1.6687,                 1.4679,               0.009175,               0.009175,               0.009175
                     27,                 1.9568,                 1.7114,                 1.4677,                0.65276,                 0.4735,                0.53142,                0.26459,                 1.8454,                 1.6044,                 1.4492,               0.009142,               0.009142,               0.009142
                     28,                 1.9754,                  1.733,                 1.4773,                0.60634,                0.44419,                0.50248,                0.24765,                 1.8955,                 1.6709,                  1.477,               0.009109,               0.009109,               0.009109
                     29,                  1.962,                 1.7061,                 1.4776,                0.64645,                0.47372,                0.53196,                0.26231,                  1.887,                 1.6228,                 1.4938,               0.009076,               0.009076,               0.009076
                     30,                 1.9614,                 1.7166,                 1.4678,                0.64279,                0.46191,                0.51455,                 0.2509,                 1.8836,                 1.6979,                 1.4824,               0.009043,               0.009043,               0.009043
                     31,                 1.9306,                  1.672,                  1.455,                0.67937,                0.46675,                0.54203,                0.26476,                 1.8776,                 1.6124,                 1.4703,                0.00901,                0.00901,                0.00901
                     32,                 1.9353,                  1.669,                 1.4611,                 0.6269,                0.48902,                0.53277,                0.26927,                 1.8752,                 1.6698,                 1.4658,               0.008977,               0.008977,               0.008977
                     33,                 1.9285,                 1.6643,                  1.463,                0.64183,                0.48837,                0.54463,                0.26858,                 1.8734,                 1.6176,                 1.4701,               0.008944,               0.008944,               0.008944
                     34,                 1.9325,                 1.6677,                 1.4546,                0.64728,                 0.5064,                0.55915,                0.28391,                  1.855,                 1.5688,                 1.4629,               0.008911,               0.008911,               0.008911
                     35,                 1.9185,                 1.6537,                  1.446,                0.66887,                0.50053,                0.56903,                0.28122,                 1.8932,                 1.5619,                 1.4751,               0.008878,               0.008878,               0.008878
                     36,                  1.921,                 1.6337,                 1.4336,                0.65146,                0.50464,                 0.5646,                0.28077,                 1.8644,                 1.5852,                 1.4554,               0.008845,               0.008845,               0.008845
