                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2639,                 3.2619,                 2.2231,                0.16597,                  0.167,                0.08842,                 0.0275,                  2.799,                 8.0511,                 2.1357,               0.070087,              0.0033237,              0.0033237
                      2,                 2.6703,                 2.6972,                 1.8319,                 0.2394,                0.21003,                 0.1419,                0.05297,                 2.4684,                 2.7239,                 1.7822,               0.040065,               0.006635,               0.006635
                      3,                 2.5346,                 2.5025,                 1.7536,                0.32098,                 0.2575,                0.19792,                0.07636,                 2.2736,                 2.3182,                 1.7096,               0.010021,              0.0099244,              0.0099244
                      4,                 2.4656,                 2.4241,                 1.7249,                0.21012,                0.19366,                0.12311,                0.05179,                  2.276,                 2.5739,                 1.6635,               0.009901,               0.009901,               0.009901
                      5,                 2.3863,                 2.3034,                 1.6801,                0.25969,                0.26746,                0.19766,                0.07929,                 2.1921,                 2.4883,                  1.639,               0.009868,               0.009868,               0.009868
                      6,                  2.339,                 2.2578,                 1.6615,                0.37321,                 0.3073,                0.27332,                0.11604,                 2.1352,                 2.1065,                 1.5845,               0.009835,               0.009835,               0.009835
                      7,                 2.2837,                  2.186,                 1.6316,                0.30057,                0.32275,                0.23355,                0.09271,                  2.158,                 2.0818,                  1.608,               0.009802,               0.009802,               0.009802
                      8,                  2.272,                 2.1676,                 1.6199,                0.34718,                0.31162,                0.27449,                0.11763,                 2.1552,                 2.0693,                 1.5673,               0.009769,               0.009769,               0.009769
                      9,                 2.2389,                 2.1265,                 1.6048,                0.43148,                0.38484,                0.33244,                0.14899,                 2.0252,                 1.9147,                  1.523,               0.009736,               0.009736,               0.009736
                     10,                 2.1943,                 2.0618,                 1.5796,                0.35986,                0.32919,                0.28394,                0.12103,                 2.1328,                 2.0088,                 1.5674,               0.009703,               0.009703,               0.009703
                     11,                  2.173,                 2.0433,                 1.5719,                 0.4329,                0.38188,                0.35792,                0.16299,                 1.9971,                 1.8384,                 1.5032,                0.00967,                0.00967,                0.00967
                     12,                 2.1661,                 2.0235,                 1.5592,                0.34668,                0.34089,                0.27795,                0.12494,                 1.9965,                 2.0983,                 1.5465,               0.009637,               0.009637,               0.009637
                     13,                 2.1442,                  1.992,                  1.555,                0.47174,                0.37839,                0.37672,                0.16753,                 2.0335,                 1.8412,                 1.5449,               0.009604,               0.009604,               0.009604
                     14,                 2.1276,                 1.9641,                 1.5452,                 0.4825,                0.38902,                0.39099,                0.18001,                 1.9963,                 1.8255,                 1.5154,               0.009571,               0.009571,               0.009571
                     15,                  2.111,                  1.965,                 1.5455,                 0.4777,                0.41392,                0.39549,                0.18352,                 1.9591,                 1.8175,                 1.4861,               0.009538,               0.009538,               0.009538
                     16,                 2.0999,                  1.924,                 1.5358,                0.45528,                0.42149,                0.39815,                0.18204,                 1.9441,                 1.8557,                 1.4936,               0.009505,               0.009505,               0.009505
                     17,                 2.0889,                 1.9137,                 1.5289,                 0.4698,                0.39853,                0.39992,                0.18887,                 1.9271,                  1.766,                 1.4761,               0.009472,               0.009472,               0.009472
                     18,                 2.0862,                 1.9209,                 1.5231,                 0.5277,                0.42071,                0.41998,                0.19807,                 1.9249,                 1.7846,                 1.4754,               0.009439,               0.009439,               0.009439
                     19,                 2.0814,                  1.888,                 1.5203,                0.51154,                0.41676,                0.43466,                0.20408,                 1.9496,                 1.7479,                 1.4933,               0.009406,               0.009406,               0.009406
                     20,                 2.0497,                 1.8548,                 1.5051,                0.48825,                0.41472,                0.41645,                0.19606,                 1.9933,                 1.7481,                   1.52,               0.009373,               0.009373,               0.009373
                     21,                 2.0446,                 1.8541,                 1.5028,                0.48423,                0.41619,                0.42422,                0.20751,                 1.8913,                 1.7078,                 1.4693,                0.00934,                0.00934,                0.00934
                     22,                 2.0338,                 1.8257,                 1.5003,                0.54311,                0.43804,                0.45521,                0.22682,                 1.8678,                 1.6367,                  1.453,               0.009307,               0.009307,               0.009307
                     23,                 2.0253,                 1.8206,                 1.4958,                0.53562,                0.42761,                0.44876,                0.22545,                 1.8837,                 1.6623,                 1.4407,               0.009274,               0.009274,               0.009274
                     24,                 2.0138,                 1.8196,                 1.4903,                0.55445,                0.42142,                0.45129,                0.22105,                 1.8825,                 1.6677,                 1.4525,               0.009241,               0.009241,               0.009241
                     25,                 2.0093,                 1.8086,                 1.4878,                0.50598,                0.44772,                0.43343,                0.21043,                 1.9264,                 1.7467,                 1.4999,               0.009208,               0.009208,               0.009208
                     26,                 2.0202,                 1.7993,                 1.4877,                0.56945,                0.43952,                  0.467,                0.21809,                 1.9256,                 1.6993,                 1.4651,               0.009175,               0.009175,               0.009175
                     27,                  1.984,                 1.7673,                 1.4629,                0.53545,                0.46492,                 0.4709,                0.23482,                 1.8572,                 1.6193,                 1.4594,               0.009142,               0.009142,               0.009142
                     28,                 1.9894,                 1.7716,                 1.4689,                0.59152,                0.44839,                0.48916,                0.23774,                 1.9369,                 1.6527,                 1.4827,               0.009109,               0.009109,               0.009109
                     29,                 1.9728,                 1.7476,                 1.4668,                0.55088,                0.46685,                 0.4889,                0.24164,                 1.8643,                 1.6193,                 1.4279,               0.009076,               0.009076,               0.009076
                     30,                 1.9743,                 1.7534,                 1.4534,                0.62752,                0.46654,                0.51359,                0.25995,                 1.8436,                 1.6022,                 1.4281,               0.009043,               0.009043,               0.009043
                     31,                 1.9474,                 1.7131,                 1.4449,                0.60497,                0.47707,                0.53023,                0.26312,                 1.8226,                 1.5666,                 1.4258,                0.00901,                0.00901,                0.00901
                     32,                 1.9528,                 1.7089,                 1.4587,                0.56807,                0.49124,                0.51941,                0.25595,                 1.8536,                 1.5848,                 1.4221,               0.008977,               0.008977,               0.008977
                     33,                 1.9488,                 1.7125,                 1.4559,                 0.5573,                0.48259,                 0.5072,                0.25139,                 1.8707,                 1.5957,                 1.4352,               0.008944,               0.008944,               0.008944
                     34,                 1.9577,                 1.7256,                 1.4526,                0.59991,                0.48462,                0.52652,                 0.2719,                 1.8436,                 1.5871,                 1.4444,               0.008911,               0.008911,               0.008911
                     35,                 1.9435,                 1.6967,                 1.4422,                 0.5975,                0.44556,                 0.4934,                0.24709,                 1.8641,                 1.6083,                 1.4303,               0.008878,               0.008878,               0.008878
                     36,                 1.9394,                 1.6825,                 1.4309,                0.59297,                0.47918,                0.53122,                0.27147,                 1.8447,                  1.564,                 1.4248,               0.008845,               0.008845,               0.008845
                     37,                 1.9331,                  1.683,                 1.4398,                 0.6471,                0.46617,                0.53681,                0.27432,                 1.8055,                 1.5347,                 1.4018,               0.008812,               0.008812,               0.008812
                     38,                  1.928,                 1.6748,                 1.4326,                0.65076,                  0.483,                0.53637,                0.26726,                 1.8702,                  1.546,                  1.411,               0.008779,               0.008779,               0.008779
                     39,                 1.9217,                 1.6678,                 1.4247,                0.63635,                 0.4815,                 0.5447,                 0.2819,                 1.8118,                 1.5333,                 1.4099,               0.008746,               0.008746,               0.008746
                     40,                 1.9141,                 1.6451,                 1.4172,                0.64388,                 0.4875,                0.55199,                0.28955,                 1.8062,                 1.5072,                 1.3944,               0.008713,               0.008713,               0.008713
                     41,                 1.9205,                 1.6527,                 1.4211,                0.63271,                0.52438,                0.56522,                0.29385,                 1.8035,                 1.5176,                 1.4104,                0.00868,                0.00868,                0.00868
                     42,                 1.9024,                 1.6485,                 1.4199,                0.65603,                0.48943,                0.55694,                0.29506,                 1.7776,                 1.5073,                  1.381,               0.008647,               0.008647,               0.008647
                     43,                 1.9157,                 1.6434,                 1.4167,                0.64341,                0.49788,                0.55056,                0.28784,                  1.804,                 1.5598,                 1.3938,               0.008614,               0.008614,               0.008614
                     44,                  1.906,                 1.6337,                 1.4115,                0.62977,                0.51155,                0.55691,                0.29052,                 1.7883,                 1.5509,                 1.3973,               0.008581,               0.008581,               0.008581
                     45,                 1.8995,                 1.6238,                 1.4088,                0.65694,                0.49414,                0.55899,                0.28856,                 1.8018,                  1.508,                 1.3886,               0.008548,               0.008548,               0.008548
                     46,                  1.882,                 1.6057,                 1.3975,                0.63645,                0.49915,                 0.5671,                0.29348,                 1.8045,                 1.4953,                 1.3919,               0.008515,               0.008515,               0.008515
                     47,                 1.8832,                 1.6026,                 1.4068,                0.61967,                 0.5185,                0.56758,                0.29907,                  1.783,                 1.4846,                 1.3872,               0.008482,               0.008482,               0.008482
                     48,                  1.885,                 1.5949,                 1.4013,                0.62326,                 0.5224,                0.57007,                0.29448,                 1.8018,                 1.4831,                 1.3904,               0.008449,               0.008449,               0.008449
