epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,71.0086,3.2364,3.28326,2.24331,0.14287,0.1349,0.05719,0.01977,2.98968,3.55463,2.02345,0.070087,0.00332367,0.00332367
2,138.038,2.62162,2.64787,1.8435,0.20189,0.15673,0.10775,0.03742,2.59122,2.75906,1.87107,0.040065,0.00663504,0.00663504
3,202.391,2.49159,2.4489,1.76966,0.24277,0.31201,0.15379,0.05424,2.46267,2.98883,1.77645,0.010021,0.0099244,0.0099244
4,267.264,2.4117,2.35798,1.73049,0.31666,0.28751,0.2145,0.08377,2.24105,2.86167,1.69955,0.009901,0.009901,0.009901
5,333.038,2.34258,2.25139,1.67994,0.33735,0.3156,0.2511,0.10067,2.16278,2.07311,1.62964,0.009868,0.009868,0.009868
6,398.622,2.2812,2.17902,1.66395,0.32487,0.27735,0.20427,0.08398,2.26667,2.34274,1.67765,0.009835,0.009835,0.009835
7,464.524,2.24648,2.1315,1.63547,0.34437,0.3472,0.29282,0.11876,2.12465,1.98293,1.60147,0.009802,0.009802,0.009802
8,530.339,2.21894,2.10906,1.61719,0.33328,0.33123,0.27069,0.11562,2.06498,1.99375,1.59579,0.009769,0.009769,0.009769
9,595.984,2.19321,2.08345,1.60442,0.44745,0.34516,0.31721,0.13438,2.04913,2.02067,1.57569,0.009736,0.009736,0.009736
10,662.471,2.14621,2.01993,1.57087,0.42877,0.35303,0.3299,0.14771,2.0249,1.93164,1.53856,0.009703,0.009703,0.009703
11,727.459,2.14932,2.0106,1.57895,0.41457,0.34589,0.34335,0.15678,2.02119,1.91746,1.55039,0.00967,0.00967,0.00967
12,791.402,2.11212,1.971,1.54167,0.46952,0.36821,0.35369,0.16354,1.95385,1.83402,1.48899,0.009637,0.009637,0.009637
13,855.667,2.10006,1.94899,1.53738,0.47906,0.38861,0.38688,0.17299,1.94818,1.86169,1.50105,0.009604,0.009604,0.009604
14,920.066,2.08799,1.91839,1.52976,0.47209,0.38527,0.3852,0.17458,2.01491,1.79669,1.5034,0.009571,0.009571,0.009571
15,983.802,2.07464,1.92335,1.53808,0.48892,0.38724,0.39259,0.18455,1.95099,1.7972,1.50932,0.009538,0.009538,0.009538
16,1047.6,2.0576,1.88378,1.51381,0.41871,0.41901,0.3896,0.18674,1.89246,1.86956,1.46777,0.009505,0.009505,0.009505
17,1114.3,2.06134,1.87823,1.51835,0.49234,0.42192,0.41669,0.19788,1.92571,1.75325,1.48245,0.009472,0.009472,0.009472
18,1181.46,2.05026,1.88113,1.50587,0.53124,0.41118,0.42646,0.20653,1.85623,1.72581,1.46449,0.009439,0.009439,0.009439
19,1248.73,2.03164,1.84674,1.49841,0.4817,0.42662,0.41547,0.19102,1.94232,1.7897,1.4992,0.009406,0.009406,0.009406
20,1315.33,2.02025,1.8187,1.49171,0.52833,0.42018,0.42655,0.20066,1.92294,1.73948,1.50353,0.009373,0.009373,0.009373
21,1382.86,2.01483,1.81113,1.48674,0.51597,0.42419,0.43176,0.2137,1.84763,1.67595,1.45117,0.00934,0.00934,0.00934
22,1447.54,2.00077,1.78922,1.48099,0.48219,0.4432,0.43127,0.20816,1.88995,1.64917,1.46599,0.009307,0.009307,0.009307
23,1512.96,1.99069,1.77809,1.47989,0.58895,0.44974,0.47984,0.23432,1.88315,1.65565,1.45473,0.009274,0.009274,0.009274
24,1577.76,1.98711,1.78551,1.471,0.50392,0.44014,0.4402,0.20922,1.9072,1.66856,1.46183,0.009241,0.009241,0.009241
25,1643.44,1.9765,1.77047,1.46982,0.55473,0.45902,0.47255,0.22546,1.87174,1.65699,1.45651,0.009208,0.009208,0.009208
26,1710.44,1.97303,1.74507,1.46084,0.59062,0.46714,0.50151,0.24491,1.85961,1.61557,1.43252,0.009175,0.009175,0.009175
27,1776.88,1.95557,1.72104,1.44896,0.56347,0.47317,0.50355,0.24895,1.8248,1.56397,1.43448,0.009142,0.009142,0.009142
28,1843.05,1.96241,1.72676,1.45179,0.56897,0.46851,0.49421,0.24815,1.85464,1.59385,1.42613,0.009109,0.009109,0.009109
29,1909.22,1.94182,1.70541,1.44925,0.60508,0.47445,0.50748,0.2498,1.82777,1.58367,1.40862,0.009076,0.009076,0.009076
30,1974.67,1.93007,1.69595,1.43268,0.61311,0.46991,0.51156,0.24494,1.84451,1.59581,1.43436,0.009043,0.009043,0.009043
31,2040.51,1.91905,1.68189,1.43179,0.60792,0.47274,0.51223,0.25492,1.83166,1.55666,1.42551,0.00901,0.00901,0.00901
32,2107.7,1.91874,1.66943,1.43636,0.63818,0.49137,0.53303,0.27173,1.81868,1.57323,1.4041,0.008977,0.008977,0.008977
33,2174.15,1.9152,1.66511,1.43713,0.57479,0.48979,0.51516,0.25594,1.82433,1.55808,1.41732,0.008944,0.008944,0.008944
34,2241.19,1.91625,1.68,1.42735,0.63236,0.47723,0.53124,0.26886,1.79798,1.54489,1.40982,0.008911,0.008911,0.008911
35,2305.52,1.91061,1.66191,1.42464,0.60949,0.4846,0.52526,0.26339,1.82494,1.55792,1.4165,0.008878,0.008878,0.008878
36,2369.73,1.90952,1.63786,1.4136,0.61787,0.51874,0.5457,0.27653,1.81137,1.54873,1.40856,0.008845,0.008845,0.008845
